date	chapter	category	decision	promoted_to	status
2026-09-03	1283	PHRASE	Preserve the wedding-dress, riverbank-fire, eagle-and-landbound-beast, mouth-scraps, hundred-flowers, and three-part comic domination images.	phrase-memory.tsv	active
2026-09-03	1283	FACT	Record the Ancient Past inheritance, the Doctrine of Names mechanics, Lü Yang's resistance to Fortune erasure, and Tai Yitian as an altered rather than original name.	world-reference.md and continuity.md	active
2026-09-03	1283	MACRO	Allow clearly voiced private rhetorical sequences without Chinese thought marks to become separate italicized first-person thought paragraphs.	style-guide.md	active
2026-09-03	1283	QUALITY	Repair the owner edit's missing title and thought markup, restore the source's raised-eyebrow reaction, correct the number mismatch in cultivation methods, and keep the combat sides explicit.	decision-log.tsv	active
2026-09-03	1284	MACRO	Make natural contractions the default in contemporary prose; retain expanded forms only for emphasis, contrast, formal cadence, or clarity, and continue banning contractions ending in 'd.	style-guide.md, known-errors.md, workflow.md, and prepare.py	active
2026-09-03	1284	QUALITY	Add an explicit English-construction review for articles, prepositions, complements, collocations, and causal sentence linkage inside each aligned source paragraph.	style-guide.md, known-errors.md, workflow.md, and prepare.py	active
2026-09-03	1284	PHRASE	Preserve the fallen-tiger, wedding-dress, peach-plucking, riverbank-fire, and two-fists-four-hands images while keeping the surrounding English modern and direct.	phrase-memory.tsv	active
2026-09-03	1284	FACT	Record the hidden Fathomless Void realm, the Heavenly Book's provenance, Vast Sky's ritual hypothesis, and the paused seven-way confrontation around the Primordial Saint.	world-reference.md and continuity.md	active
2026-09-03	1285-1286	TERM	Use three life bodies for 三世身; restore True Monarch Radiant World Western Light and Tribulation to the consolidated glossary; exempt adverbial 一心逃遁 from the named One Mind check.	terminology.tsv	active
2026-09-05	1287-1288	TERM	Use Heart-Naming Spirit-Locking Art for 称心锁神决, Doctrine of Appearances for 相教, and nature and life for 性命.	terminology.tsv	active
2026-09-05	1288	MACRO	Retain modern system and matchup diction where the narration supports it, and shorten repeated attack labels only after the referent is clear.	style-guide.md	active
2026-09-05	1288	PHRASE	Preserve the chapter title, the four-part cultivation verse, the banished-immortal image, and the context-sensitive raw-stats-over-mechanics phrasing.	phrase-memory.tsv	active
2026-09-05	1285-1288	FACT	Advance continuity through the coalition, the Heart-Naming Spirit-Locking Art exchange, the destruction of Karma, and the Primordial Saint's first attack.	world-reference.md and continuity.md	active
2026-09-05	1288	QUALITY	Source-check the owner revision; retain the omitted title, repair local article, punctuation, and pronoun slips, and keep 难得圆满 as difficulty rather than impossibility.	decision-log.tsv	active
2026-09-05	all	PIPELINE	Target three to five minutes for routine chat chapters by reusing unchanged authorities, isolating concurrent reviewers, avoiding polling and nonessential research, and using one correction pass plus one final check.	workflow.md and chat-fast-path.md	consolidated
2026-09-05	1290	TERM	Use divine abilities, not Divine Powers; reaffirm Dao resonance; record Reincarnation Wheel of Life and Death, Dharma Extinction Scripture, Dao Artifact, and blood qi.	terminology.tsv and known-errors.md	active
2026-09-05	1290	PHRASE	Retain the title; record subtle footwork, context-bound all dharmas, the dream-bubble-shadow list, rainbow glow, and mutual reinforcement without creating global sentence templates.	phrase-memory.tsv and terminology.tsv	active
2026-09-05	1290	MACRO	Use fuller source-faithful phrasing with necessary articles, prepositions, objects, complements, and explicit actors. Reaffirm contractions except those ending in 'd; do not add lore or explanations.	style-guide.md and workflow.md	active
2026-09-05	1290	LOCAL	Keep clearer actor-target clauses, principles of spells, and explicit mutual reinforcement. Ordinary verbs such as appeared and other descriptions of light remain context-sensitive.	decision-log.tsv	consolidated
2026-09-05	1290	MECHANICAL	Restore the omitted title; fix the comma splice, missing period after shadow, a astonishing, curly quotes, and stray spacing in the checked temporary copy. Do not promote these slips as precedent.	decision-log.tsv	active
2026-09-05	1290	QUALITY	Do not promote omission of 光 from 劫气之光 or added violently as a general simplification. Capitalized Spells in the named-foundations list does not globally capitalize ordinary spells.	decision-log.tsv	active
2026-09-05	1290	FACT	Record banishment, the costly removal of the Lock, foundation-targeting scripture, and the piercing strike. Neither the Primordial Saint's death nor a new Dao Lord position is confirmed.	world-reference.md and continuity.md	active
2026-09-05	1290	PIPELINE	Record the owner's selection of Astra as lead translator, not an assistant-performed model change. Keep chat-first delivery, stronger grammar review, and owner-approved metadata-only commits.	decision-log.tsv	consolidated
2026-09-05	1289-1290	PIPELINE	Consolidate verified Ch.1290; keep Ch.1289's owner revision pending complete source-grounded reconciliation. Preserve older translation and review gaps; next new chapter is 1291.	chapters/state.json and chapters/ledger.tsv	consolidated
2026-09-05	1291	PHRASE	Adopt the owner's natural donkey-exhausting-its-tricks wording and Vajra image. Restore the calamity modifier in baleful qi; distinguish survival through mortal danger from literal rebirth.	phrase-memory.tsv	active
2026-09-05	1291	QUALITY	Restore the split blood paragraph, separate two reasoning paragraphs, and recover the omitted timing question. Raw and corrected text each have 70 body paragraphs plus title; the received body has 69.	decision-log.tsv	active
2026-09-05	1291	QUALITY	Repair breath-radiance attachment, fatal stakes, pronoun case, contractions, and risk wording. Preserve free indirect narration and established perfect-counter terminology; no global synonym replacement.	decision-log.tsv	active
2026-09-05	1291	MACRO	Check paragraph content and boundaries, not totals alone. Verify each idiom's meaning and natural English construction. Distinguish delivered-draft errors from later revision drift.	style-guide.md, known-errors.md, and workflow.md	active
2026-09-05	1291	TERM	Exclude descriptive 万法不侵 and 重重光彩 from name matches; regression checks retain genuine names. Adjudicate the remaining 吕阳 flag as valid owner-rendered first-person thought, not a missing character.	terminology.tsv and tests/test_authorities.py	active
2026-09-05	1291	FACT	Record temporal wound-shedding, Tribulation survival, the coalition's exhaustion strategy, and emerging Variables within damaged Destiny. Do not assume integration succeeds or silently change the source's seven-opponent count.	world-reference.md and continuity.md	active
2026-09-05	1291	PIPELINE	Record the owner revision and deliver requested source repairs; keep full final approval distinct because substantive corrections have been made. Next new chapter is 1292; older review gaps remain.	chapters/state.json and chapters/ledger.tsv	consolidated
2026-09-06	1292	TERM	Use Blissful Pure Land and comprehension; prefer Empty Attainment Dao. Prove/proved/proving describes establishing a named Dao; preserve tense and distinguish this from mere understanding.	terminology.tsv, phrase-memory.tsv, and style-guide.md	active
2026-09-06	1292	PHRASE	Use Variables in the opening deduction and history and karma for historical travel. Neither choice implies actual mastery of Variables or replaces cause and effect in ordinary reasoning.	phrase-memory.tsv	active
2026-09-06	1292	LOCAL	Retain clearer action and causal clauses, plain power after mighty power, and the owner's schematic present in the three-body sequence. Do not turn these choices into mandatory sentence templates.	style-guide.md and decision-log.tsv	consolidated
2026-09-06	1292	QUALITY	Restore the title and two merged paragraph pairs: raw and checked text have 73 body paragraphs; the received revision has 71. Repair Saint pronouns, apostrophe, and would not; retain knowledge of the method, not mere awareness.	known-errors.md and decision-log.tsv	active
2026-09-06	1292	FACT	Record Destiny-built Variables imagery, three concurrent body matchups, and the causal sequence and shared Tian deduction. Keep the full mechanism undisclosed and Dao Tianqi's separate banishment unresolved.	world-reference.md and continuity.md	active
2026-09-06	1292	PIPELINE	Consolidate the source-checked owner revision as final; advance next new chapter to 1293 without closing older gaps. Deliver checked chapters immediately in chat; a temporary draft is not delivery.	workflow.md, chapters/state.json, and chapters/ledger.tsv	consolidated
2026-09-06	1293	TERM	Use the Heavenly Calendar Numbers for 天历数 and retain Little Tianyi. Capitalize Spiritual Power as a named cultivation foundation; keep the resource sense lowercase.	terminology.tsv and style-guide.md	active
2026-09-06	1293	PHRASE	Use source in the changes maxim and matching chapter title; retain expound Variables and higher realm of Divine Transformation in their cultivation contexts.	phrase-memory.tsv	active
2026-09-06	1293	QUALITY	Keep all 81 body paragraphs and the title. Repair pronouns and commas, a conditional comparison in the earlier draft, newly developed rather than previously hidden weakness, and stirring rather than creating imagery.	known-errors.md and decision-log.tsv	active
2026-09-06	1293	LOCAL	Retain the owner's clearer contrast, snuffed out, stood supreme, and simpler account of the Saint's understanding. Preserve the crude joke; do not make isolated synonyms mandatory templates.	decision-log.tsv	consolidated
2026-09-06	1293	FACT	Record the three-plan deduction, failed Fate-Reforming, summoned core, and shattered body with clear light. Variables marks the first and only Divine Transformation being; identity and survival remain undisclosed.	world-reference.md and continuity.md	active
2026-09-06	1293	TERM	Exclude descriptive 重重光景 from the Chongguang name match alongside 重重光彩; extend the existing regression check while retaining genuine name detection.	terminology.tsv and tests/test_authorities.py	active
2026-09-06	1293	PIPELINE	Consolidate verified owner changes and source repairs in one authority update; next new chapter is 1294. Keep earlier review gaps open and chapter prose out of Git.	chapters/state.json and chapters/ledger.tsv	consolidated
2026-09-06	1293	PIPELINE	Move the unchanged detailed continuity through Ch.1281 into the existing archive to meet the active-size gate. Retain live prerequisites, update continuity routing, and preserve all source and review statuses.	continuity.md, continuity-archive.md, and chapters/ledger.tsv	consolidated
2026-09-07	1295	TERM	Adopt Dharma Refining Secret Realm, unhyphenated, for 炼法秘境; retain Transcendence for the named achievement while ordinary verbal 超脱 remains lowercase and inflected. Do not generalize Dharma to every 法.	terminology.tsv	active
2026-09-07	1295	PHRASE	Replace the delivered over-literal crossbow bolt with spent force. Preserve the snake and brick/jade images while expressing their application naturally; use the compact Treading the Heavens Great True Monarch rank.	phrase-memory.tsv	active
2026-09-07	1295	MACRO	Prefer clear resource ownership and quantified noun phrases, explicit forced movement, and connected action/consequence clauses. Correct alternatives and local synonym choices are not blanket rules.	style-guide.md	active
2026-09-07	1295	LOCAL	Retain clearer rank/status wording, the linked slaughter-and-recovery promise, Fate proclaims, and state of mind. The context supports understanding Variables without establishing mastery of that Great Dao.	phrase-memory.tsv and decision-log.tsv	consolidated
2026-09-07	1295	QUALITY	The owner revision preserves all 94 body paragraphs; retain the title. Repair morel, missing ending punctuation, the article in status as a Dao Lord, curly apostrophes, and nonbreaking spaces.	decision-log.tsv	active
2026-09-07	1295	QUALITY	Preserve source almost/no-hesitation qualification and attempted interception; remove added crushing intensity. These deviations arose in the owner revision, while the delivered draft preserved the qualifier and attempt.	known-errors.md and decision-log.tsv	active
2026-09-07	1295	TERM	Allow overwhelming power only in the source-grounded 排山倒海的伟力 compound with its mountain/sea image. Exclude verbal 刚刚现世 from the mortal-world noun match; keep genuine unqualified terms enforced.	terminology.tsv, phrase-memory.tsv, and tests/test_authorities.py	active
2026-09-07	1295	FACT	Record Transcendence as an achievement, the injury/power tradeoff, the remnant-consciousness bypass, fragment replenishment with living seas of consciousness, restored status, and the final separation and intervention.	world-reference.md and continuity.md	active
2026-09-07	1295	PIPELINE	Consolidate verified Ch.1295 owner changes; record Ch.1294 as delivered but pending review, not approved by later progress. Advance next new chapter to 1296 while retaining older gaps and chat-only prose.	chapters/state.json and chapters/ledger.tsv	consolidated
2026-09-07	1295	PIPELINE	Move unchanged Ch.1282-1284 causal detail into the existing archive; active continuity covers 1285-1295 with current positions and open questions. Approval statuses remain unchanged.	continuity.md, continuity-archive.md, and chapters/ledger.tsv	consolidated
2026-09-07	1298	TERM	Adopt Taiji and Taiji Dao Lord, replacing provisional Supreme Ultimate. Add the title as a Si Sui alias without treating this term correction as approval of the full chapter.	terminology.tsv and entities.tsv	active
2026-09-07	1299	PHRASE	Retain ascending to the heavens, devour in the Five Elements incorporation, sense of Self for firmer identity, and conspire together in the exploitative alliance refusal. These are contextual choices.	phrase-memory.tsv	active
2026-09-07	1299	PHRASE	Use the owner's pack of tyrants and rhetorical challenge for 独夫 here. Preserve the contrast with the human heart; do not mechanically add isolated or erase the separate one-man-standing-alone sense.	phrase-memory.tsv	active
2026-09-07	1299	MACRO	Connect resources and means explicitly to their goal. Choose articles by syntax and referent; local additions before Nascent Soul, Primordial Chaos, or Dao Heart are not global title rules.	style-guide.md	active
2026-09-07	1299	LOCAL	Retain remained calm, nourished, said bluntly, and as calm as ever. Keep the emphatic formal it is without generalizing it over the contraction policy. The body-only revision retains the delivered chapter title.	decision-log.tsv	consolidated
2026-09-07	1299	MECHANICAL	Repair owner It' still, lowercase divine he/we, the unfinished tyrants question, and nonbreaking spaces. Also repair the inherited collective our in the previous contest reference; do not misattribute it to the owner.	decision-log.tsv	active
2026-09-07	1299	QUALITY	Preserve the intuition-to-choice cause and both halves of 生杀予夺, sparing/killing and giving/taking. These source details were weakened in the owner revision; alternatives were explained before consolidation.	decision-log.tsv	active
2026-09-07	1299	TERM	Exclude 成道主 from the shorter 成道 match: the compound means become a Dao Lord. Keep independent prove-the-Dao occurrences checked; no unrelated achievement is inserted to satisfy a lexical scanner.	terminology.tsv and known-errors.md	active
2026-09-07	1296-1299	FACT	Record Dao Heart, Du Xuan's regression and reincarnation, Si Sui's relinquished Daos and Taiji title, status versus essence, and the incompatible paths. Attribute ancient history and advancement estimates to the Primordial Saint.	world-reference.md and continuity.md	active
2026-09-07	1299	PIPELINE	Record the source-checked 78-paragraph owner body with retained title. Advance next new chapter to 1300; 1296-1297 stay pending, 1298 has only a term correction, and older translation gaps remain open.	chapters/state.json and chapters/ledger.tsv	consolidated
2026-09-07	1299	PIPELINE	Move unchanged Ch.1285-1290 causal detail into the existing archive. Active continuity covers 1291-1299. Chapter prose and temporary owner comparisons remain outside Git.	continuity.md, continuity-archive.md, and chapters/ledger.tsv	consolidated
2026-09-07	1300-1301	MACRO	Use nature for fundamental character and constitutive cultivation identity; retain essence for substances, refined essence, or other appropriate senses. Fuller complete phrasing outranks minimum word count.	style-guide.md	active
2026-09-07	1301	TERM	Use the One Mind in definite references to the World-Honored One method, including I have the One Mind; reinforce the Dao Heart in definite constructions while keeping attributive forms contextual.	terminology.tsv and style-guide.md	active
2026-09-07	1301	MACRO	Make ownership, the actual subject of a nature claim, and both objects in a comparison explicit. Link creating and controlling the second world and clarify that both worlds occupy the same place.	style-guide.md	active
2026-09-07	1301	LOCAL	Retain swept, the mustard seed, the ends of the earth, blurred together, looked at, strode, overlaid, and the clearer risk explanation. These are contextual prose edits, not mandatory synonym substitutions.	decision-log.tsv	consolidated
2026-09-07	1301	PHRASE	Retain the owner quoted Haaah breath locally instead of forcing the impersonal WHOO sound. This does not change ordinary impact sound formatting.	style-guide.md	active
2026-09-07	1301	QUALITY	Preserve try to hold off and throwing a punch at Him, rather than established ability or contact. Preserve the definite void response. Source-grounded corrections to the owner revision were explained before promotion.	decision-log.tsv	active
2026-09-07	1301	QUALITY	Repair inherited ambiguities: the ruler is Si Sui disciplinary implement, not a possession of His teacher; a full relative clause separates the second being attainment from feeding Him into the Other Shore.	known-errors.md	active
2026-09-07	1301	MECHANICAL	Repair lowercase divine he and past counterfactual tense, normalize nonbreaking spaces, retain the source title, and keep The advantage is mine within its source paragraph. Keep the valid hard scene break before the Other Shore.	decision-log.tsv	active
2026-09-07	1300-1301	FACT	Record Nascent Soul infant and maternal-void mechanics, distinct Spirit anchors, Si Sui second-sea nature, Lü Yang access to three Daos, Dao Tianqi return, and the Saint motive in Si Sui open scheme. Duel outcome remains open.	world-reference.md and continuity.md	active
2026-09-07	1301	PIPELINE	Consolidate verified 1301 edits; record only explicit corrections for 1300 and retain older gaps. Archive unchanged 1291-1293 events. Next new chapter is 1302; prose stays chat-only.	chapters/state.json, chapters/ledger.tsv, continuity.md and continuity-archive.md	consolidated
2026-09-08	1303	TERM	Heavenly Scripture replaces Heavenly Book for 天书 across current authorities. The six owner substitutions name the same artifact, distinct from the Book of a Hundred Lives; the old name is not an allowed variant.	terminology.tsv, world-reference.md, continuity.md, and continuity-archive.md	active
2026-09-08	1303	TERM	Register the bracketed Ring and Nascent Soul Dao Body, distinct from generic ring and Dharma Body. Accept grammatical transcendent/transcender forms and ordinary life in 危及性命.	terminology.tsv	active
2026-09-08	1303	PHRASE	Lock the equality declaration's wording and format: resent, aren't benevolent, isn't equal, for your sakes, make it equal, final period, bold corner brackets. Normalize apostrophes to ASCII only.	phrase-memory.tsv	active
2026-09-08	1303	MACRO	Preserve displayed inscriptions and approved formatting instead of stripping all brackets. Inline Dao names remain unbracketed; arbitrary fullwidth punctuation is still prohibited.	style-guide.md and qa-rules.md	active
2026-09-08	1303	MACRO	Check intent, actor, gesture, timing, degree, totality, and plural reference. Fuller connected wording may restore these details; fluent prose and paragraph totals do not establish fidelity.	PROJECT_INSTRUCTIONS.md, workflow.md, translation-spec.md, style-guide.md, and known-errors.md	active
2026-09-08	1303	MACRO	Keep inner speech conversational and causally connected. Ordinary decency is contextual to Si Sui; sardonic voice does not make Save your breath, mockery, or expanded negatives universal substitutions.	style-guide.md and phrase-memory.tsv	active
2026-09-08	1303	MACRO	Inventory hard scene changes and validate positions. Ch.1303 needs breaks before Si Sui opens His eyes and before Lü Yang views the book inside the sea, not at the brief historical recollection.	style-guide.md, workflow.md, and qa-rules.md	active
2026-09-08	1303	LOCAL	Retain source-supported crashing rain, wretched, Save your breath, So that's it, actually, some attachment, all things, single light, grip, entirely real, and linked clauses. Keep dialogue colons without merging source paragraphs.	decision-log.tsv	consolidated
2026-09-08	1303	QUALITY	Owner edits restore deliberate purpose, the opponent's position, long-ago timing, sequence, and gesture. Both versions miss plural address, immediate outpouring/world expansion, boundlessness, and smaller timing or causal cues.	known-errors.md and qa-rules.md	active
2026-09-08	1303	QUALITY	Keep the clearer rescue-to-suppression chain and restore severe injuries. Enduring blows does not specify an unflinching reaction. Preserve rain impact without adding drop breakup; explain these adjustments in the comparison.	decision-log.tsv	active
2026-09-08	1303	MECHANICAL	Repair leaving/left, pronoun case, missing stops, alternating/altering, spacing, and the inherited Though fragment. Restore the two merged boundaries and retain title/end framing; do not promote typing slips as style.	decision-log.tsv	active
2026-09-08	1303	PIPELINE	When requested, report every paragraph-indexed change, including punctuation and boundaries. Distinguish preferences, mechanics, and source repairs; promote only reusable rulings, never a chapter-specific supplement.	editing-spec.md	consolidated
2026-09-08	1303	PIPELINE	Share fixed-display and bracket checks across chat/file lint; validate reviewed scene positions. Test inscription loss, punctuation leakage, missing/extra breaks, and the superseded artifact name.	scripts and tests/test_authorities.py	consolidated
2026-09-08	1303	FACT	Record Ring/cradle mechanics, storm risk, conditional affordable aid, the unsealed Scripture, its title-page identity, and real world creation. Distinguish threats, character claims, and shown outcomes.	world-reference.md and continuity.md	active
2026-09-08	1303	PIPELINE	Consolidate Ch.1303: 32 changed aligned paragraphs and two merged pairs in an 81-paragraph body. Advance through 1303, next new chapter 1304; 1302 remains pending and older gaps stay open. Prose remains chat-only.	chapters/state.json and chapters/ledger.tsv	consolidated
2026-09-08	1304	MACRO	Revise existing rules: sensations belong to the experiencer; symbolic One/Two/Three can stand bare; grammatical Only when emphasis is allowed; unit conversion must preserve physical quantity.	style-guide.md	active
2026-09-08	1304	PHRASE	Prefer single page for the Scripture core. Retain the Buddhist touch/dharma formula, five features and seven apertures, contextual spirituality, and the One/Two/Three sequence; do not generalize them to unrelated contexts.	phrase-memory.tsv	active
2026-09-08	1304	LOCAL	Retain gathering into a form, explicit establishment by a Divine Transformation cultivator, pressing weight, rippling Rings, singular ocean, layers, firmament, linked while/Only when clauses, weathering/behold, and final temporal emphasis.	decision-log.tsv	consolidated
2026-09-08	1304	QUALITY	Correct far beyond reach to excessive difficulty, lake to water, and restore the rolling voice, lofty mountains, and 100,000 li as about 31,000 miles. Use in heaven and earth, not beneath both. Explain source corrections before promotion.	known-errors.md and decision-log.tsv	active
2026-09-08	1304	MECHANICAL	Restore divine His and capitalized Yin/Yang; normalize nonbreaking spaces. Retain all 68 body paragraphs, the source title/end framing, and the scene break before the lower viewpoint.	decision-log.tsv	active
2026-09-08	1304	FACT	Record the first transcender original page and Saint-added wrapper, seal limits, real-world status threshold, Si Sui bodily creation and ordered Dao/life transfer, and five Daos left behind. Do not declare a final defeat.	world-reference.md and continuity.md	active
2026-09-08	1304	PIPELINE	Consolidate 21 edited paragraphs in Ch.1304; next new chapter 1305, old gaps retained. Archive unchanged 1294-1297 events; move open character hypotheses from stable world reference to active continuity without deletion.	chapters/state.json, chapters/ledger.tsv, continuity.md and continuity-archive.md	consolidated
2026-09-09	1306	MACRO	Revise existing rules for connected causal, conditional and concessive clauses; explicit understanding complements; natural locative openings; and ease-of-use language that retains the source joke.	style-guide.md	active
2026-09-09	1306	TERM	Variables is a singular named Dao despite its spelling; ordinary variables follow source number. Extend the existing life-context exception to the attested phrase 危及他性命.	terminology.tsv	active
2026-09-09	1306	PHRASE	Retain the intended sliver image with natural chance-at-survival grammar; silver is a typo. Record one step ahead and the what-happens/why-it-works contrast as contextual phrases, not fixed sentences.	phrase-memory.tsv	active
2026-09-09	1306	LOCAL	Retain continuous scenic cadence, explicit Saint referents, streaking light, a compact stalemate ending, concessive aura/attitude contrast, and two short bluff thoughts. No blanket synonym or fragment bans.	decision-log.tsv	consolidated
2026-09-09	1306	MECHANICAL	Repair six silver/sliver instances, singular Variables agreement, divine pronoun case and nonbreaking spaces. Title and scene break 47 are unchanged; only end marker is omitted.	decision-log.tsv	active
2026-09-09	1306	QUALITY	Owner P21 weakens success; P26 loses further; P46 exchanges certainty for degree; P66 drops deadly; P69 drops many, always and the Dao Lord punchline and changes contempt to cursing; P72 unharmed contradicts injuries.	decision-log.tsv	pending
2026-09-09	1306	QUALITY	Flag P17 actor/information/current-situation precision, P23 collective/location ambiguity, P32 also and continuing safety, and P50 added even. Propose source-grounded wording without promoting changed meaning.	decision-log.tsv	pending
2026-09-09	1306	QUALITY	Inherited P26 And if underplays escalation; P59 attacked it blurs entry into the new world. Owner improves original people of spirit and mindless wording; preserve the method, idiomatic humor and actual geography.	known-errors.md and decision-log.tsv	active
2026-09-09	1306	FACT	Record the narrow and missable survival chance, unchanged self-cultivated status, proposed second transcender, absent Variables inside the new world, confirmed Saint status loss and former allies encircling Him.	world-reference.md and continuity.md	active
2026-09-09	1306	PIPELINE	Compare 28 changed paragraphs; 49 supplied paragraphs unchanged. Record 1305 pending and 1306 owner revision with source corrections unresolved; latest delivered 1306, next new 1307. Retain old gaps and chat-only prose.	chapters/state.json and chapters/ledger.tsv	consolidated
2026-09-09	1306	PIPELINE	Archive the unchanged 1298-1299 causal block; update active positions and answered questions through 1306 without treating proposed escape or enemy recovery as completed events.	continuity.md and continuity-archive.md	consolidated
2026-09-09	1306	PIPELINE	Consolidate duplicate prose reminders. Move the unchanged detailed rejected-Ch.1271 checklist into the existing archive with an explicit active pointer; preserve all rejection and source requirements.	known-errors.md and continuity-archive.md	consolidated
2026-09-10	1307	MACRO	P3,6,17,19,24,33,34,38,42,43,46,47,50: prefer natural verbs, collocations and connected beats; avoid abstract padding, trailing result clauses and forced nominalizations. Local synonyms remain optional.	style-guide.md	active
2026-09-10	1307	PHRASE	P12,41: adopt talent or useful people in the material/talent wordplay; remove overexplicit human material. Preserve actual harvesting and sacrificial mechanics. Repair few talent as little talent or few useful people.	phrase-memory.tsv	active
2026-09-10	1307	TERM	P48,60,66: Five Elements Dao and living pillar replace Dao of the Five Elements and provisional living anchor in these senses. Four named cultivation Daos now have exact longer glossary keys.	terminology.tsv	active
2026-09-10	1307	MACRO	P13,23,29,31,32,67: retain controlled speech, natural direct address, parallel verbs and time reference. Remove editorial parentheses from dialogue lists, preserving the one-of-three condition.	style-guide.md	active
2026-09-10	1307	QUALITY	P14: owner loses further probing and in response, adds until nothing remained beyond a miserable fate. Keep cleaner syntax while retaining the provocation link and avoiding added total annihilation.	decision-log.tsv	pending
2026-09-10	1307	QUALITY	P37: owner Fellow Daoist jests reverses the admission. Source means We were only joking!, spoken by the three Dao Lords backing down; preserve the abrupt comic retreat.	phrase-memory.tsv	pending
2026-09-10	1307	QUALITY	P40: fear power is natural; respect virtue shifts contextual 不怀德 from gratitude for beneficence. Prefer These Dao Lords fear power but feel no gratitude for kindness.	decision-log.tsv	pending
2026-09-10	1307	LOCAL	P19: keep the pill replenishing the aura without the draft infusion-of-nourishment padding. P25: retain the firewood image, inadequate recovery and present sufficiency. P36: three different time periods clarifies separate placement.	decision-log.tsv	consolidated
2026-09-10	1307	QUALITY	P62 needs you in direct address: So, you should understand now, Fellow Daoist. P72 come to terms with risks changing realization to acceptance; keep the dazed realization without suggesting reluctance.	decision-log.tsv	pending
2026-09-10	1307	MECHANICAL	Repair curly punctuation P13,14,29,31,50; point.Now P19; shared-infinitive laid to lay P23; few talent P41; unnecessary comma P46; missing you/NBSP P62. Omitted end marker is framing, not narrative loss.	decision-log.tsv	active
2026-09-10	1307	FACT	Record the four Daos uses, partial Alchemy recovery, surviving Five Elements root, 84,000-year reconstruction, living-pillar impasse and one-additional-Dao-Lord condition. Replace overbroad five-Daos inventory.	world-reference.md and continuity.md	active
